label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S242,8,28.1549,27.737,0.4179,"[4, None, 2, None, 0, 3, 1, 3, 1, 2]","[389, 167, 209, 258, 311]","[5.9661, 5.124, 5.3471, 5.5568, 5.743]",False,
S243,8,28.1099,27.6403,0.4696,"[4, None, 2, None, 0, 3, 2, 3, 1, 2]","[389, 133, 238, 258, 311]","[5.9661, 4.8978, 5.4765, 5.5568, 5.743]",False,
S244,8,28.147,27.6645,0.4825,"[4, None, 2, None, 0, 3, 3, 3, 1, 2]","[389, 133, 209, 301, 311]","[5.9661, 4.8978, 5.3471, 5.7104, 5.743]",False,
S245,8,28.114,27.6316,0.4825,"[4, None, 2, None, 0, 3, 4, 3, 1, 2]","[389, 133, 209, 258, 351]","[5.9661, 4.8978, 5.3471, 5.5568, 5.8636]",False,
S239,7,27.8419,26.9651,0.8767,"[4, None, 2, None, 0, 3, None, 3, 1, 3]","[389, 133, 103, 302, 311]","[5.9661, 4.8978, 4.6444, 5.7137, 5.743]",False,
S240,7,27.8446,26.9678,0.8767,"[4, None, 2, None, 0, 3, None, 3, 1, 4]","[389, 133, 103, 258, 365]","[5.9661, 4.8978, 4.6444, 5.5568, 5.9026]",False,
S233,6,27.9925,26.5367,1.4558,"[4, None, 2, None, 0, 3, None, 4, 1, None]","[389, 133, 103, 146, 418]","[5.9661, 4.8978, 4.6444, 4.9904, 6.0379]",False,
S228,5,28.1133,22.0451,6.0683,"[4, None, 3, None, 0, 3, None, None, 1, None]","[389, 133, 0, 229, 311]","[5.9661, 4.8978, 0.0, 5.4381, 5.743]",False,
S229,5,27.9249,21.7813,6.1435,"[4, None, 4, None, 0, 3, None, None, 1, None]","[389, 133, 0, 146, 374]","[5.9661, 4.8978, 0.0, 4.9904, 5.9269]",False,
N21,4,28.3133,21.7933,6.5199,"[4, None, None, None, 0, 3, None, None, 2, None]","[389, 0, 162, 146, 311]","[5.9661, 0.0, 5.0938, 4.9904, 5.743]",False,
S48,5,28.1046,22.0216,6.083,"[4, None, 0, None, 0, 3, None, None, 2, None]","[489, 0, 162, 146, 311]","[6.1944, 0.0, 5.0938, 4.9904, 5.743]",False,
S49,5,28.0922,25.7054,2.3868,"[4, None, 1, None, 0, 3, None, None, 2, None]","[389, 49, 162, 146, 311]","[5.9661, 3.912, 5.0938, 4.9904, 5.743]",False,
