m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef
20,32,31.220558561501807,2643,383,4.744529724121094e-05,True,False,31.69219915926858,2842,465,0.03670549392700195,214,1,1,True,True,True,False
20,33,31.199051707984175,2629,342,4.76837158203125e-05,True,False,31.828827056578675,2969,448,0.0398411750793457,246,1,1,True,True,True,False
20,34,31.188655095323675,2657,359,4.8160552978515625e-05,True,False,31.789408935667392,2896,504,0.3129723072052002,1765,1,1,True,True,True,False
20,35,31.32515976999431,2735,331,6.151199340820312e-05,True,False,31.64379835751479,2833,490,0.4973795413970947,2837,1,1,True,True,True,False
20,36,31.093167173391972,2598,329,4.935264587402344e-05,True,False,31.651919740465278,2807,513,0.022979259490966797,131,1,1,True,True,True,False
20,37,31.365339202097402,2762,334,4.76837158203125e-05,True,False,31.826046901677213,2920,499,0.5739700794219971,3281,1,1,True,True,True,False
20,38,31.260404650931378,2720,303,4.863739013671875e-05,True,False,31.63729561928234,2816,440,2.7154111862182617,12829,1,1,True,True,True,False
20,39,30.96674102813109,2511,329,5.555152893066406e-05,True,False,31.65430725946166,2826,463,0.2017049789428711,1190,1,1,True,True,True,False
20,40,31.207722947620983,2640,372,4.9591064453125e-05,True,False,31.677658083795407,2829,473,0.03759956359863281,224,1,1,True,True,True,False
20,41,30.88818489794337,2495,324,4.792213439941406e-05,True,False,31.52945565992743,2759,469,0.12364673614501953,699,1,1,True,True,True,False
20,42,31.14970913292148,2617,376,8.511543273925781e-05,True,False,31.752251275906442,2864,534,0.15767145156860352,851,1,1,True,True,True,False
20,43,30.821448426850417,2457,351,4.8160552978515625e-05,True,False,31.75774467347945,2873,504,0.012764692306518555,75,1,1,True,True,True,False
20,44,31.150039168168394,2622,362,4.673004150390625e-05,True,False,31.919378505884847,3003,468,0.11440205574035645,675,1,1,True,True,True,False
20,45,31.275469219948114,2680,368,4.839897155761719e-05,True,False,31.68430153621924,2828,492,3.45784068107605,17361,1,1,True,True,True,True
20,46,31.41876837093288,2770,354,5.030632019042969e-05,True,False,31.838540064049347,2915,523,0.024335622787475586,138,1,1,True,True,True,True
20,47,30.983615460689393,2530,347,4.8160552978515625e-05,True,False,31.55035349698207,2762,463,0.011927127838134766,69,1,1,True,True,True,False
20,48,31.06277281889595,2548,364,4.982948303222656e-05,True,False,31.66961324130313,2814,537,1.4186391830444336,7920,1,1,True,True,True,False
20,49,31.152825317652557,2619,324,7.534027099609375e-05,True,False,31.592759586640582,2788,470,0.047287940979003906,268,1,1,True,True,True,True
30,0,33.35571885238553,3987,585,0.00011301040649414062,True,False,33.640747201260304,4183,761,2.5406503677368164,14092,1,1,True,True,True,True
30,1,33.471228629241374,4057,725,7.605552673339844e-05,True,False,33.62319928594772,4172,729,0.7187759876251221,4089,1,1,True,True,True,True
30,2,33.473547934966646,4085,597,7.677078247070312e-05,True,False,33.68782851857357,4215,798,0.14011859893798828,789,1,1,True,True,True,True
30,3,33.25269163495384,3898,639,7.462501525878906e-05,True,False,33.61680098798506,4158,764,0.9229834079742432,5212,1,1,True,True,True,True
30,4,33.17027962322131,3828,636,7.462501525878906e-05,True,False,33.41768756347872,4000,722,3.7205681800842285,18645,1,1,True,True,True,True
30,5,33.364800420975044,3991,658,7.82012939453125e-05,True,False,33.741559798080004,4264,777,0.48000383377075195,2735,1,1,True,True,True,True
30,6,33.22879113455488,3876,624,7.534027099609375e-05,True,False,33.58192843736828,4127,785,0.5316994190216064,2956,1,1,True,True,True,True
30,7,33.40678345802444,4060,575,0.00010824203491210938,True,False,33.70373346722042,4237,769,1.0101866722106934,5636,1,1,True,True,True,True
30,8,33.09396625555203,3776,630,7.581710815429688e-05,True,False,33.6435227418779,4183,749,0.08428430557250977,485,1,1,True,True,True,True
30,9,33.472944689506214,4062,658,7.82012939453125e-05,True,False,33.83582214422795,4355,790,0.6516234874725342,3668,1,1,True,True,True,False
30,10,33.16655373264384,3820,608,7.510185241699219e-05,True,False,33.4922145308561,4057,725,1.7935736179351807,9987,1,1,True,True,True,True
30,11,33.161383543961215,3845,563,8.511543273925781e-05,True,False,33.587726797735485,4139,755,0.06972765922546387,392,1,1,True,True,True,True
30,12,33.38913382600873,4002,636,8.797645568847656e-05,True,False,33.67430036182553,4204,783,0.5708153247833252,3138,1,1,True,True,True,True
30,13,33.56356005691217,4160,615,7.82012939453125e-05,True,False,33.81651945895596,4327,826,0.5866727828979492,3317,1,1,True,True,True,True
30,14,33.4942627833822,4070,681,7.557868957519531e-05,True,False,33.69488207295194,4223,783,1.0458018779754639,5780,1,1,True,True,True,False
30,15,33.0798065634115,3756,629,7.581710815429688e-05,True,False,33.58612403161359,4138,772,2.196402072906494,11901,1,1,True,True,True,True
30,16,33.36256174622646,3982,656,7.700920104980469e-05,True,False,33.72256459478837,4249,773,0.6807329654693604,3923,1,1,True,True,True,True
30,17,33.525409642782506,4107,649,7.677078247070312e-05,True,False,33.7324994316806,4276,753,1.4215714931488037,7752,1,1,True,True,True,True
30,18,33.21662952847649,3865,589,7.939338684082031e-05,True,False,33.609099874245295,4158,754,0.6401853561401367,3587,1,1,True,True,True,True
30,19,33.36637090178806,4004,601,7.534027099609375e-05,True,True,33.65585346323393,4215,740,1.2334520816802979,6854,1,1,True,True,True,True
30,20,33.342534324657855,3948,703,7.653236389160156e-05,True,False,33.66263878003028,4213,766,6.5328779220581055,30731,1,1,True,True,True,True
30,21,33.22716143120532,3869,649,7.605552673339844e-05,True,False,33.520721015688025,4082,739,3.396562337875366,17872,1,1,True,True,True,True
