label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S78,9,28.4244,28.197,0.2274,"[0, 1, 3, 3, 2, 2, 4, 1, None, 1]","[175, 236, 291, 393, 366]","[5.1705, 5.4681, 5.6768, 5.9764, 5.9054]",False,
S79,9,28.3919,28.1645,0.2274,"[0, 1, 4, 3, 2, 2, 4, 1, None, 1]","[175, 236, 291, 357, 390]","[5.1705, 5.4681, 5.6768, 5.8805, 5.9687]",False,
S73,8,28.4633,28.0194,0.4439,"[0, 1, None, 3, 2, 2, 4, 1, None, 2]","[175, 186, 340, 357, 366]","[5.1705, 5.2311, 5.8319, 5.8805, 5.9054]",False,
S74,8,28.3963,27.9524,0.4439,"[0, 1, None, 3, 2, 2, 4, 1, None, 3]","[175, 186, 291, 390, 366]","[5.1705, 5.2311, 5.6768, 5.9687, 5.9054]",False,
S75,8,28.4262,27.9823,0.4439,"[0, 1, None, 3, 2, 2, 4, 1, None, 4]","[175, 186, 291, 357, 412]","[5.1705, 5.2311, 5.6768, 5.8805, 6.0234]",False,
S62,7,28.3561,27.6843,0.6718,"[0, 1, None, 3, 3, 2, 4, 1, None, None]","[175, 186, 197, 440, 366]","[5.1705, 5.2311, 5.2883, 6.089, 5.9054]",False,
S63,7,28.3335,27.6617,0.6718,"[0, 1, None, 3, 4, 2, 4, 1, None, None]","[175, 186, 197, 357, 441]","[5.1705, 5.2311, 5.2883, 5.8805, 6.0913]",False,
N8,6,28.6482,27.4375,1.2107,"[0, 2, None, 3, None, 2, 4, 1, None, None]","[175, 117, 301, 357, 366]","[5.1705, 4.7707, 5.7104, 5.8805, 5.9054]",False,
S22,7,28.4163,27.6423,0.774,"[0, 2, None, 3, 0, 2, 4, 1, None, None]","[215, 117, 301, 357, 366]","[5.3753, 4.7707, 5.7104, 5.8805, 5.9054]",False,
N24,7,28.5151,27.8486,0.6665,"[0, 2, None, 3, 1, 2, 4, 1, None, None]","[175, 177, 301, 357, 366]","[5.1705, 5.1818, 5.7104, 5.8805, 5.9054]",False,
S89,8,28.4175,27.9962,0.4213,"[0, 2, None, 3, 1, 2, 4, 1, None, 0]","[203, 177, 301, 357, 366]","[5.3181, 5.1818, 5.7104, 5.8805, 5.9054]",False,
N25,8,28.5151,28.0962,0.4189,"[0, 2, None, 3, 1, 2, 4, 1, None, 1]","[175, 227, 301, 357, 366]","[5.1705, 5.4293, 5.7104, 5.8805, 5.9054]",False,
N26,9,28.515,28.3238,0.1912,"[0, 2, 0, 3, 1, 2, 4, 1, None, 1]","[220, 227, 301, 357, 366]","[5.3982, 5.4293, 5.7104, 5.8805, 5.9054]",False,
L2,10,28.5054,28.5054,0.0,"[0, 2, 0, 3, 1, 2, 4, 1, 0, 1]","[264, 227, 301, 357, 366]","[5.5797, 5.4293, 5.7104, 5.8805, 5.9054]",False,
S97,10,28.3957,28.3957,0.0,"[0, 2, 0, 3, 1, 2, 4, 1, 1, 1]","[220, 244, 301, 357, 366]","[5.3982, 5.5013, 5.7104, 5.8805, 5.9054]",False,
S98,10,28.4305,28.4305,0.0,"[0, 2, 0, 3, 1, 2, 4, 1, 2, 1]","[220, 227, 335, 357, 366]","[5.3982, 5.4293, 5.8171, 5.8805, 5.9054]",False,
S99,10,28.3649,28.3649,0.0,"[0, 2, 0, 3, 1, 2, 4, 1, 3, 1]","[220, 227, 301, 372, 366]","[5.3982, 5.4293, 5.7104, 5.9216, 5.9054]",False,
S100,10,28.4395,28.4395,0.0,"[0, 2, 0, 3, 1, 2, 4, 1, 4, 1]","[220, 227, 301, 357, 411]","[5.3982, 5.4293, 5.7104, 5.8805, 6.021]",False,
