m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,rr_player_order
20,20,30.88484001829819,2439,370,4.315376281738281e-05,31.587882293273783,2805,469,0.0197079181671142,154,1,1,True,True,True,"[2, 0, 1, 4, 3]"
20,21,31.263478700435822,2660,350,4.1961669921875e-05,31.626036143896734,2816,421,0.0761909484863281,499,1,1,True,True,True,"[3, 0, 4, 2, 1]"
20,22,31.002749206102525,2537,357,4.267692565917969e-05,31.70947264143436,2844,514,0.1218252182006836,925,1,1,True,True,True,"[0, 4, 2, 3, 1]"
20,23,31.095147228626185,2600,333,6.008148193359375e-05,31.771860960311532,2894,478,0.0517702102661132,314,1,1,True,True,True,"[1, 4, 3, 2, 0]"
20,24,31.42927687962831,2804,366,0.0001177787780761,31.74870880229201,2878,507,0.3584082126617431,2634,1,1,True,True,True,"[2, 3, 1, 4, 0]"
20,25,31.14362627032019,2620,385,8.344650268554688e-05,31.844299555395544,2921,537,0.2573511600494385,1925,1,1,True,True,True,"[3, 0, 4, 1, 2]"
20,26,31.215672230980797,2654,350,4.220008850097656e-05,31.690601432996004,2828,527,0.1108255386352539,835,1,1,True,True,True,"[2, 3, 1, 4, 0]"
20,27,31.15561448844372,2611,342,4.1961669921875e-05,31.9551261836524,2990,513,0.0172328948974609,138,1,1,True,True,True,"[3, 4, 2, 0, 1]"
20,28,31.09851646798925,2612,345,4.148483276367188e-05,31.83359346492642,2917,513,0.1300554275512695,979,1,1,True,True,True,"[4, 0, 3, 2, 1]"
20,29,31.34334446862271,2736,370,4.673004150390625e-05,31.80808220873836,2915,472,0.0986723899841308,717,1,1,True,True,True,"[2, 3, 4, 1, 0]"
20,30,31.09657377655095,2581,338,7.915496826171875e-05,31.76764352779648,2874,530,0.0170698165893554,132,1,1,True,True,True,"[3, 1, 0, 2, 4]"
20,31,31.29690037189255,2677,341,4.792213439941406e-05,31.728864380494137,2861,483,0.1313238143920898,999,1,1,True,True,True,"[3, 1, 2, 0, 4]"
20,32,31.220558561501807,2643,383,4.1961669921875e-05,31.69219915926858,2842,465,0.0266318321228027,214,1,1,True,True,True,"[0, 2, 3, 1, 4]"
20,33,31.19905170798417,2629,342,4.172325134277344e-05,31.828827056578675,2969,448,0.0300869941711425,246,1,1,True,True,True,"[4, 0, 2, 1, 3]"
20,34,31.188655095323675,2657,359,8.296966552734375e-05,31.789408935667392,2896,504,0.2380909919738769,1765,1,1,True,True,True,"[3, 1, 4, 0, 2]"
20,35,31.32515976999431,2735,331,4.458427429199219e-05,31.64379835751479,2833,490,0.3839561939239502,2837,1,1,True,True,True,"[0, 2, 1, 3, 4]"
