m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef,rr_player_order
10,49,27.34077087232248,1393,77,2.5987625122070312e-05,True,False,28.438651935115782,1523,192,0.007620096206665,50,1,1,True,True,True,False,"[4, 1, 2, 3, 0]"
20,0,31.11334370873924,2605,346,5.245208740234375e-05,True,False,31.65228972329245,2834,461,0.1402020454406738,672,1,1,True,True,True,False,"[0, 4, 1, 2, 3]"
20,1,31.05319127332941,2592,336,4.7206878662109375e-05,True,False,31.58721769646247,2773,511,0.8855874538421631,3924,1,1,True,True,True,True,"[0, 3, 1, 4, 2]"
20,2,31.06207908587084,2552,375,5.221366882324219e-05,True,False,31.69187134767054,2836,511,0.399942398071289,2240,1,1,True,True,True,False,"[4, 1, 0, 3, 2]"
20,3,31.316126475926023,2732,346,4.863739013671875e-05,True,False,31.77822717434597,2883,536,0.1022028923034668,558,1,1,True,True,True,False,"[1, 2, 3, 4, 0]"
20,4,31.219886928939783,2675,359,6.556510925292969e-05,True,False,31.6768021126482,2834,467,0.0878667831420898,472,1,1,True,True,True,False,"[2, 3, 1, 4, 0]"
20,5,31.48942992185656,2791,374,8.869171142578125e-05,True,False,31.77868188353171,2905,499,0.2589888572692871,1477,1,1,True,True,True,False,"[4, 3, 1, 2, 0]"
20,6,31.70336917339557,2942,375,5.030632019042969e-05,True,False,31.986996129994782,3008,523,0.2896814346313476,1568,1,1,True,True,True,True,"[2, 1, 3, 4, 0]"
20,7,31.477924318149885,2788,364,4.935264587402344e-05,True,False,31.843520950719817,2919,550,0.0335288047790527,190,1,1,True,True,True,True,"[3, 4, 2, 0, 1]"
20,8,31.209802212214644,2641,362,4.839897155761719e-05,True,False,31.874616476685745,2936,529,0.028254747390747,168,1,1,True,True,True,True,"[1, 0, 4, 2, 3]"
20,9,31.164203187001263,2624,358,4.9591064453125e-05,True,False,31.806471212086727,2896,531,0.1529412269592285,785,1,1,True,True,True,True,"[0, 4, 3, 1, 2]"
20,10,31.15693788912614,2587,398,5.221366882324219e-05,True,False,31.807754132954464,2905,530,0.2496798038482666,1323,1,1,True,True,True,True,"[1, 3, 4, 0, 2]"
20,11,31.360517236729024,2700,406,4.792213439941406e-05,True,False,31.775858865644363,2900,474,0.576197624206543,3236,1,1,True,True,True,False,"[2, 3, 1, 4, 0]"
20,12,31.170566685886342,2642,367,4.839897155761719e-05,True,False,31.744457507510997,2871,508,0.6063401699066162,3442,1,1,True,True,True,True,"[0, 4, 3, 2, 1]"
20,13,31.101921223775182,2625,325,4.863739013671875e-05,True,False,31.710817883714597,2840,512,0.3822681903839111,2074,1,1,True,True,True,True,"[3, 4, 2, 0, 1]"
20,14,31.070267068053067,2576,363,4.839897155761719e-05,True,False,31.51513251408397,2732,486,0.2562448978424072,1400,1,1,True,True,True,False,"[2, 1, 4, 3, 0]"
20,15,31.16398758867366,2580,382,4.744529724121094e-05,True,False,31.785708170179436,2896,504,0.3543546199798584,2003,1,1,True,True,True,True,"[1, 3, 4, 0, 2]"
20,16,30.99487385407136,2539,329,6.914138793945312e-05,True,False,31.47432102678868,2723,463,0.6186645030975342,3513,1,1,True,True,True,True,"[3, 2, 1, 0, 4]"
20,17,31.240447606636856,2644,379,4.792213439941406e-05,True,False,31.645408214163652,2819,505,0.8309433460235596,4506,1,1,True,True,True,False,"[1, 0, 3, 2, 4]"
20,18,31.232193888132585,2621,394,4.887580871582031e-05,True,False,31.813930247702856,2915,494,0.0686213970184326,401,1,1,True,True,True,False,"[2, 0, 3, 1, 4]"
20,19,31.434781189226893,2777,382,4.8160552978515625e-05,True,False,31.9001831607363,2958,531,0.323394775390625,1549,1,1,True,True,True,True,"[1, 3, 4, 0, 2]"
20,20,30.88484001829819,2439,370,4.982948303222656e-05,True,False,31.587882293273783,2805,469,0.0254178047180175,154,1,1,True,True,True,False,"[2, 0, 1, 4, 3]"
20,21,31.263478700435822,2660,350,5.793571472167969e-05,True,False,31.626036143896734,2816,421,0.0872879028320312,499,1,1,True,True,True,False,"[3, 0, 4, 2, 1]"
20,22,31.002749206102525,2537,357,4.792213439941406e-05,True,False,31.70947264143436,2844,514,0.161867618560791,925,1,1,True,True,True,False,"[0, 4, 2, 3, 1]"
20,23,31.095147228626185,2600,333,6.198883056640625e-05,True,False,31.771860960311532,2894,478,0.0521726608276367,314,1,1,True,True,True,False,"[1, 4, 3, 2, 0]"
20,24,31.42927687962831,2804,366,4.7206878662109375e-05,True,False,31.74870880229201,2878,507,0.4516408443450928,2634,1,1,True,True,True,True,"[2, 3, 1, 4, 0]"
20,25,31.14362627032019,2620,385,4.935264587402344e-05,True,False,31.844299555395544,2921,537,0.3407003879547119,1925,1,1,True,True,True,True,"[3, 0, 4, 1, 2]"
20,26,31.215672230980797,2654,350,4.76837158203125e-05,True,False,31.690601432996004,2828,527,0.1466376781463623,835,1,1,True,True,True,True,"[2, 3, 1, 4, 0]"
20,27,31.15561448844372,2611,342,4.76837158203125e-05,True,False,31.9551261836524,2990,513,0.022646427154541,138,1,1,True,True,True,True,"[3, 4, 2, 0, 1]"
20,28,31.09851646798925,2612,345,7.724761962890625e-05,True,False,31.83359346492642,2917,513,0.1715877056121826,979,1,1,True,True,True,True,"[4, 0, 3, 2, 1]"
20,29,31.34334446862271,2736,370,4.792213439941406e-05,True,False,31.80808220873836,2915,472,0.1246826648712158,717,1,1,True,True,True,False,"[2, 3, 4, 1, 0]"
20,30,31.09657377655095,2581,338,4.839897155761719e-05,True,False,31.76764352779648,2874,530,0.0220630168914794,132,1,1,True,True,True,True,"[3, 1, 0, 2, 4]"
20,31,31.29690037189255,2677,341,4.76837158203125e-05,True,False,31.728864380494137,2861,483,0.1759607791900634,999,1,1,True,True,True,False,"[3, 1, 2, 0, 4]"
20,32,31.220558561501807,2643,383,4.744529724121094e-05,True,False,31.69219915926858,2842,465,0.0367054939270019,214,1,1,True,True,True,False,"[0, 2, 3, 1, 4]"
20,33,31.19905170798417,2629,342,4.76837158203125e-05,True,False,31.828827056578675,2969,448,0.0398411750793457,246,1,1,True,True,True,False,"[4, 0, 2, 1, 3]"
