m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1
10,35,27.530896273263256,1359,156,2.3365020751953125e-05,28.336290441008483,1480,212,0.0034825801849365234,28,1,1,True,True,True
10,36,27.096787254290742,1213,140,2.2649765014648438e-05,28.040501465780345,1378,202,0.016816377639770508,130,1,1,True,True,True
10,37,27.05615537915102,1269,98,2.4557113647460938e-05,27.852521071519007,1316,229,0.021506309509277344,159,1,1,True,True,True
10,38,27.3194154631053,1343,124,2.5510787963867188e-05,28.616668625675693,1551,233,0.004076242446899414,23,1,1,True,True,True
10,39,27.70778493401749,1468,137,2.47955322265625e-05,28.473760494819786,1519,221,0.0027663707733154297,24,1,1,True,True,True
10,40,27.237735727145242,1266,150,2.7179718017578125e-05,28.453944420928828,1529,181,0.008640766143798828,65,1,1,True,True,True
10,41,27.04841606683816,1229,134,2.47955322265625e-05,28.442673907163325,1507,205,0.001995086669921875,18,1,1,True,True,True
10,42,27.341431219630984,1265,144,2.7179718017578125e-05,28.166748645472296,1428,207,0.010591506958007812,92,1,1,True,True,True
10,43,27.995562748900806,1512,150,2.86102294921875e-05,28.38966876232887,1494,228,0.004929780960083008,26,1,1,True,True,True
10,44,27.515255499273284,1395,104,2.6702880859375e-05,28.71488610065684,1588,245,0.02272963523864746,189,1,1,True,True,True
10,45,27.862963261708067,1402,158,2.6464462280273438e-05,28.57157667242719,1550,198,0.011098384857177734,94,1,1,True,True,True
10,46,27.45896580318688,1294,156,2.5510787963867188e-05,28.17473247302094,1428,210,0.015171527862548828,137,1,1,True,True,True
10,47,26.749965924946682,1145,156,2.47955322265625e-05,28.44606267171757,1503,220,0.010253190994262695,82,1,1,True,True,True
10,48,27.131830884877452,1173,135,2.4557113647460938e-05,28.098453527425228,1404,193,0.007877588272094727,66,1,1,True,True,True
10,49,27.34077087232248,1393,77,2.6226043701171875e-05,28.438651935115782,1523,192,0.006102085113525391,50,1,1,True,True,True
20,0,31.113343708739237,2605,346,9.441375732421875e-05,31.65228972329245,2834,461,0.11431312561035156,672,1,1,True,True,True
20,1,31.05319127332941,2592,336,4.363059997558594e-05,31.58721769646247,2773,511,0.7144126892089844,3924,1,1,True,True,True
20,2,31.06207908587084,2552,375,4.38690185546875e-05,31.69187134767054,2836,511,0.3027048110961914,2240,1,1,True,True,True
20,3,31.316126475926026,2732,346,4.76837158203125e-05,31.778227174345975,2883,536,0.07548308372497559,558,1,1,True,True,True
20,4,31.219886928939786,2675,359,4.363059997558594e-05,31.6768021126482,2834,467,0.0674889087677002,472,1,1,True,True,True
20,5,31.48942992185656,2791,374,4.220008850097656e-05,31.77868188353171,2905,499,0.19101405143737793,1477,1,1,True,True,True
20,6,31.703369173395572,2942,375,4.267692565917969e-05,31.986996129994786,3008,523,0.21367692947387695,1568,1,1,True,True,True
20,7,31.477924318149885,2788,364,4.744529724121094e-05,31.843520950719817,2919,550,0.0249326229095459,190,1,1,True,True,True
20,8,31.209802212214644,2641,362,4.172325134277344e-05,31.874616476685745,2936,529,0.02156996726989746,168,1,1,True,True,True
20,9,31.164203187001263,2624,358,4.315376281738281e-05,31.806471212086727,2896,531,0.10649800300598145,785,1,1,True,True,True
20,10,31.15693788912614,2587,398,4.8160552978515625e-05,31.807754132954464,2905,530,0.1822214126586914,1323,1,1,True,True,True
20,11,31.360517236729024,2700,406,4.315376281738281e-05,31.775858865644363,2900,474,0.4338219165802002,3236,1,1,True,True,True
20,12,31.170566685886342,2642,367,4.38690185546875e-05,31.744457507510994,2871,508,0.47124409675598145,3442,1,1,True,True,True
20,13,31.101921223775182,2625,325,7.43865966796875e-05,31.710817883714594,2840,512,0.2812166213989258,2074,1,1,True,True,True
20,14,31.070267068053067,2576,363,4.4345855712890625e-05,31.51513251408397,2732,486,0.1919419765472412,1400,1,1,True,True,True
20,15,31.16398758867366,2580,382,4.3392181396484375e-05,31.785708170179433,2896,504,0.2786741256713867,2003,1,1,True,True,True
20,16,30.994873854071358,2539,329,6.914138793945312e-05,31.47432102678868,2723,463,0.47174739837646484,3513,1,1,True,True,True
20,17,31.240447606636856,2644,379,4.410743713378906e-05,31.645408214163655,2819,505,0.6499631404876709,4506,1,1,True,True,True
20,18,31.232193888132585,2621,394,4.2438507080078125e-05,31.813930247702856,2915,494,0.05482649803161621,401,1,1,True,True,True
20,19,31.434781189226893,2777,382,4.291534423828125e-05,31.9001831607363,2958,531,0.20805740356445312,1549,1,1,True,True,True
